timestamp,open,high,low,close,volume
2026-01-05 09:30:00,5000.0,5000.25,4999.75,4999.75,266
2026-01-05 09:31:00,4999.75,5000.5,4999.5,4999.5,279
2026-01-05 09:32:00,4999.5,5000.5,4998.75,5000.5,222
2026-01-05 09:33:00,5000.5,5001.0,5000.5,5000.75,243
2026-01-05 09:34:00,5000.75,5001.25,5000.0,5001.0,445
2026-01-05 09:35:00,5001.0,5002.0,5001.0,5002.0,157
2026-01-05 09:36:00,5002.0,5002.0,5000.75,5001.25,188
2026-01-05 09:37:00,5001.25,5001.75,5000.75,5000.75,211
2026-01-05 09:38:00,5000.75,5001.25,5000.0,5000.0,379
2026-01-05 09:39:00,5000.0,5001.0,4999.75,5000.75,162
2026-01-05 09:40:00,5000.75,5001.25,5000.5,5001.25,355
2026-01-05 09:41:00,5001.25,5003.25,5001.25,5003.25,399
2026-01-05 09:42:00,5003.25,5003.75,5003.0,5003.75,418
2026-01-05 09:43:00,5003.75,5005.5,5003.75,5004.75,128
2026-01-05 09:44:00,5004.75,5005.75,5004.5,5005.25,235
2026-01-05 09:45:00,5005.25,5005.75,5005.25,5005.75,85
2026-01-05 09:46:00,5005.75,5007.0,5005.75,5006.5,158
2026-01-05 09:47:00,5006.5,5007.0,5005.25,5005.75,281
2026-01-05 09:48:00,5005.75,5007.5,5005.75,5007.5,167
2026-01-05 09:49:00,5007.5,5008.0,5007.25,5007.25,342
2026-01-05 09:50:00,5007.25,5007.5,5006.75,5007.5,492
2026-01-05 09:51:00,5007.5,5007.5,5007.0,5007.25,147
2026-01-05 09:52:00,5007.25,5007.75,5007.0,5007.0,100
2026-01-05 09:53:00,5007.0,5009.25,5007.0,5009.25,159
2026-01-05 09:54:00,5009.25,5009.75,5008.75,5009.0,406
2026-01-05 09:55:00,5009.0,5010.0,5009.0,5010.0,327
2026-01-05 09:56:00,5010.0,5011.75,5010.0,5011.75,485
2026-01-05 09:57:00,5011.75,5013.75,5011.75,5013.75,367
2026-01-05 09:58:00,5013.75,5015.0,5013.75,5015.0,117
2026-01-05 09:59:00,5015.0,5016.5,5014.25,5016.5,87
2026-01-05 10:00:00,5016.5,5017.0,5016.0,5017.0,328
2026-01-05 10:01:00,5017.0,5017.75,5016.25,5017.75,499
2026-01-05 10:02:00,5017.75,5019.0,5017.75,5018.75,374
2026-01-05 10:03:00,5018.75,5020.25,5018.75,5020.25,220
2026-01-05 10:04:00,5020.25,5020.25,5019.75,5020.25,403
2026-01-05 10:05:00,5020.25,5020.75,5020.0,5020.75,457
2026-01-05 10:06:00,5020.75,5021.0,5019.5,5019.5,367
2026-01-05 10:07:00,5019.5,5019.5,5018.5,5018.5,220
2026-01-05 10:08:00,5018.5,5018.5,5017.5,5017.5,69
2026-01-05 10:09:00,5017.5,5017.75,5017.25,5017.75,148
2026-01-05 10:10:00,5017.75,5018.5,5017.5,5017.75,219
2026-01-05 10:11:00,5017.75,5019.0,5017.75,5019.0,423
2026-01-05 10:12:00,5019.0,5019.25,5018.75,5019.25,316
2026-01-05 10:13:00,5019.25,5019.75,5018.5,5019.25,219
2026-01-05 10:14:00,5019.25,5019.75,5018.75,5019.5,333
2026-01-05 10:15:00,5019.5,5020.75,5019.5,5020.75,50
2026-01-05 10:16:00,5020.75,5021.0,5019.75,5019.75,456
2026-01-05 10:17:00,5019.75,5020.25,5019.5,5020.0,434
2026-01-05 10:18:00,5020.0,5021.25,5020.0,5020.25,283
2026-01-05 10:19:00,5020.25,5020.75,5019.75,5020.5,434
2026-01-05 10:20:00,5020.5,5021.0,5019.5,5019.5,484
2026-01-05 10:21:00,5019.5,5020.0,5018.75,5018.75,467
2026-01-05 10:22:00,5018.75,5018.75,5018.0,5018.0,176
2026-01-05 10:23:00,5018.0,5018.25,5017.5,5017.75,221
2026-01-05 10:24:00,5017.75,5018.5,5017.5,5018.25,327
2026-01-05 10:25:00,5018.25,5018.5,5017.5,5018.25,344
2026-01-05 10:26:00,5018.25,5019.0,5017.75,5018.0,329
2026-01-05 10:27:00,5018.0,5018.25,5016.25,5016.25,420
2026-01-05 10:28:00,5016.25,5017.5,5016.25,5017.5,379
2026-01-05 10:29:00,5017.5,5017.5,5016.75,5017.25,192
2026-01-05 10:30:00,5017.25,5017.5,5016.5,5017.5,382
2026-01-05 10:31:00,5017.5,5019.25,5017.5,5018.75,292
2026-01-05 10:32:00,5018.75,5018.75,5017.5,5017.5,108
2026-01-05 10:33:00,5017.5,5018.0,5017.0,5017.75,416
2026-01-05 10:34:00,5017.75,5018.75,5017.5,5017.5,457
2026-01-05 10:35:00,5017.5,5018.25,5017.5,5018.25,471
2026-01-05 10:36:00,5018.25,5018.25,5017.25,5018.25,383
2026-01-05 10:37:00,5018.25,5019.0,5018.0,5019.0,475
2026-01-05 10:38:00,5019.0,5019.25,5018.0,5018.25,216
2026-01-05 10:39:00,5018.25,5018.75,5018.25,5018.25,147
2026-01-05 10:40:00,5018.25,5019.0,5017.0,5017.0,97
2026-01-05 10:41:00,5017.0,5018.0,5017.0,5018.0,331
2026-01-05 10:42:00,5018.0,5019.5,5017.75,5019.5,440
2026-01-05 10:43:00,5019.5,5019.5,5017.0,5017.0,476
2026-01-05 10:44:00,5017.0,5017.5,5017.0,5017.5,407
2026-01-05 10:45:00,5017.5,5018.0,5017.5,5017.5,76
